date,open,high,low,close,volume,dividends,stock_splits,symbol
2012-05-18 00:00:00-04:00,41.7583025202686,44.687839417507796,37.73639773033992,37.96480178833008,573576400,0.0,0.0,META
2012-05-21 00:00:00-04:00,36.27659964576322,36.40569893016316,32.77108755307844,33.793941497802734,168192700,0.0,0.0,META
2012-05-22 00:00:00-04:00,32.383790175603224,33.35699161546748,30.725374626638857,30.784957885742188,101786600,0.0,0.0,META
2012-05-23 00:00:00-04:00,31.152390036721727,32.27455049753189,31.142459178505305,31.778018951416016,73600000,0.0,0.0,META
2012-05-24 00:00:00-04:00,32.721429725047805,32.97962446282299,31.549614970349158,32.800872802734375,50237200,0.0,0.0,META
2012-05-25 00:00:00-04:00,32.67178054378367,32.721432945754344,30.894196520291167,31.68864631652832,37149800,0.0,0.0,META
2012-05-29 00:00:00-04:00,31.261628349709188,31.47017260176927,28.451259635252747,28.639942169189453,78063400,0.0,0.0,META
2012-05-30 00:00:00-04:00,28.500915912840963,29.345018156498437,27.666742634818057,27.99445343017578,57267900,0.0,0.0,META
2012-05-31 00:00:00-04:00,28.351951172013045,29.46418269408395,26.64388329631165,29.394668579101562,111639200,0.0,0.0,META
2012-06-01 00:00:00-04:00,28.68959193961696,28.947788569191818,27.19999731107415,27.527708053588867,41855500,0.0,0.0,META
2012-06-04 00:00:00-04:00,27.01131612838842,27.458193371213287,26.256587971617723,26.713396072387695,35230300,0.0,0.0,META
2012-06-05 00:00:00-04:00,26.514786454464442,27.567432846906506,25.57137571884075,25.69054412841797,42473400,0.0,0.0,META
2012-06-06 00:00:00-04:00,25.889156908501278,26.981526789922295,25.342972914849625,26.6240234375,61489200,0.0,0.0,META
2012-06-07 00:00:00-04:00,26.812705102509298,27.1602775845135,25.968601044532697,26.127490997314453,26159500,0.0,0.0,META
2012-06-08 00:00:00-04:00,26.365824355377466,27.567431682569417,26.256588703172767,26.912010192871094,38034000,0.0,0.0,META
2012-06-11 00:00:00-04:00,26.9914545409212,27.875280066948473,26.653812945651065,26.822633743286133,28219600,0.0,0.0,META
2012-06-12 00:00:00-04:00,27.289373484666633,27.57736269232864,26.77298021900082,27.209928512573242,15816800,0.0,0.0,META
2012-06-13 00:00:00-04:00,27.468125535399363,27.905073835175585,26.91201072284989,27.08083152770996,17102800,0.0,0.0,META
2012-06-14 00:00:00-04:00,27.45819592071798,28.123548311878448,27.19006841365682,28.09375762939453,16855000,0.0,0.0,META
2012-06-15 00:00:00-04:00,28.31222807213062,29.891198489296286,28.153338134036243,29.801822662353516,43563800,0.0,0.0,META
2012-06-18 00:00:00-04:00,29.75216789014614,31.85746427103185,29.205983973573243,31.192110061645508,42978900,0.0,0.0,META
2012-06-19 00:00:00-04:00,31.32121399606278,31.956773833052505,30.48704076295491,31.68864631652832,30849000,0.0,0.0,META
2012-06-20 00:00:00-04:00,31.69857441597449,31.70850527432756,30.93391536984613,31.380794525146484,15553600,0.0,0.0,META
2012-06-21 00:00:00-04:00,31.450310275706837,32.27455262071737,31.291420322026564,31.619131088256836,21875300,0.0,0.0,META
2012-06-22 00:00:00-04:00,32.18517612961737,33.21796270162605,31.83760554684292,32.820735931396484,74834000,0.0,0.0,META
2012-06-25 00:00:00-04:00,32.63205620431654,32.7909461591691,31.331142094549364,31.83760643005371,24352900,0.0,0.0,META
2012-06-26 00:00:00-04:00,32.463228532491854,33.208025792271364,32.27454792377889,32.870384216308594,24858700,0.0,0.0,META
2012-06-27 00:00:00-04:00,32.23483185546349,32.67178210545622,31.678716971515847,32.00642776489258,28568000,0.0,0.0,META
2012-06-28 00:00:00-04:00,31.738296222648113,31.966700284340234,30.685649851882946,31.142459869384766,17713300,0.0,0.0,META
2012-06-29 00:00:00-04:00,31.698573505343703,31.768087617700644,30.546620487126496,30.884262084960938,19526900,0.0,0.0,META
2012-07-02 00:00:00-04:00,31.033222733562184,31.509892580161473,30.33807778668335,30.55655288696289,14122000,0.0,0.0,META
2012-07-03 00:00:00-04:00,30.695584664166294,31.221908864402597,30.586347101409103,30.98357391357422,8763600,0.0,0.0,META
2012-07-05 00:00:00-04:00,31.102736544099283,31.41058558024122,30.80481836642871,31.25169563293457,10032100,0.0,0.0,META
2012-07-06 00:00:00-04:00,31.2219041977642,31.678712311711486,31.043152537830903,31.509891510009766,10945600,0.0,0.0,META
2012-07-09 00:00:00-04:00,31.87732807077374,32.65191996381857,31.768092403806,31.946842193603516,17785200,0.0,0.0,META
