date,open,high,low,close,volume,dividends,stock_splits,symbol
2006-12-04 00:00:00-05:00,2.7555778268537816,2.7606758209487476,2.7141898349712297,2.7327845096588135,709536800,0.0,0.0,AAPL
2006-12-05 00:00:00-05:00,2.7486794886691706,2.7690734683619285,2.725286535641726,2.737283229827881,662838400,0.0,0.0,AAPL
2006-12-06 00:00:00-05:00,2.718387994301614,2.7408813885047705,2.6892966205530713,2.6940948963165283,638184400,0.0,0.0,AAPL
2006-12-07 00:00:00-05:00,2.700093208453585,2.714189119368434,2.606220908601433,2.610419750213623,1004827600,0.0,0.0,AAPL
2006-12-08 00:00:00-05:00,2.616118058552584,2.68089898205213,2.6092203623570898,2.6470091342926025,784277200,0.0,0.0,AAPL
2006-12-11 00:00:00-05:00,2.666203576114341,2.6782002674111447,2.64071140795585,2.6617050170898438,499780400,0.0,0.0,AAPL
2006-12-12 00:00:00-05:00,2.657506633765594,2.6644043315083845,2.5651341039158773,2.5834288597106934,1026620000,0.0,0.0,AAPL
2006-12-13 00:00:00-05:00,2.637712388489523,2.6713023303254855,2.6137198017059453,2.6707026958465576,857052000,0.0,0.0,AAPL
2006-12-14 00:00:00-05:00,2.6707028268954374,2.699194775893432,2.6470101562946695,2.655707359313965,832330800,0.0,0.0,AAPL
2006-12-15 00:00:00-05:00,2.6698029625798103,2.675801308630074,2.619118139725988,2.63081431388855,739939200,0.0,0.0,AAPL
2006-12-18 00:00:00-05:00,2.628114954990163,2.63921149347854,2.5369417072456666,2.5633342266082764,721576800,0.0,0.0,AAPL
2006-12-19 00:00:00-05:00,2.541140363333038,2.5996230250280954,2.507850950511923,2.588526487350464,911405600,0.0,0.0,AAPL
2006-12-20 00:00:00-05:00,2.5933248352715026,2.5993231803585464,2.5414409521746384,2.5420405864715576,567691600,0.0,0.0,AAPL
2006-12-21 00:00:00-05:00,2.5402419139027814,2.563634666547289,2.4652639772706393,2.486257791519165,903599200,0.0,0.0,AAPL
2006-12-22 00:00:00-05:00,2.503051174609976,2.5204465702268917,2.4472681841422883,2.4652624130249023,613303600,0.0,0.0,AAPL
2006-12-26 00:00:00-05:00,2.4637644946083843,2.4763608206612653,2.4259757166615508,2.4445695877075195,490688800,0.0,0.0,AAPL
2006-12-27 00:00:00-05:00,2.343799245408513,2.459264783601862,2.30241226671155,2.4448697566986084,1935754800,0.0,0.0,AAPL
2006-12-28 00:00:00-05:00,2.405882620905503,2.436773716487116,2.3887879276353083,2.4253766536712646,1119876800,0.0,0.0,AAPL
2006-12-29 00:00:00-05:00,2.517748264454788,2.561235478881181,2.5000539418459478,2.544440507888794,1076429200,0.0,0.0,AAPL
2007-01-03 00:00:00-05:00,2.5879274059994173,2.5966248077792655,2.456266509849645,2.513249397277832,1238319600,0.0,0.0,AAPL
2007-01-04 00:00:00-05:00,2.5207472274263094,2.5777301080092014,2.513848729700049,2.569032907485962,847260400,0.0,0.0,AAPL
2007-01-05 00:00:00-05:00,2.572331540537928,2.5852275836178573,2.531244273183708,2.5507380962371826,834741600,0.0,0.0,AAPL
2007-01-08 00:00:00-05:00,2.5780297723113446,2.5951246561575405,2.557635598306554,2.5633342266082764,797106800,0.0,0.0,AAPL
2007-01-09 00:00:00-05:00,2.592726287290842,2.7885675162317667,2.553737431323579,2.776271104812622,3349298400,0.0,0.0,AAPL
2007-01-10 00:00:00-05:00,2.841652435106517,2.9331246309358487,2.8026637773294425,2.909132242202759,2952880000,0.0,0.0,AAPL
2007-01-11 00:00:00-05:00,2.8773410845990446,2.9025335369680247,2.8521486322300644,2.8731422424316406,1440252800,0.0,0.0,AAPL
2007-01-12 00:00:00-05:00,2.836851989841588,2.850948100547527,2.796064645451557,2.837752342224121,1312690400,0.0,0.0,AAPL
2007-01-16 00:00:00-05:00,2.869543027291634,2.9166284379256613,2.8626453303677573,2.9121298789978027,1244076400,0.0,0.0,AAPL
2007-01-17 00:00:00-05:00,2.925926061089883,2.9271251294711798,2.8437507355670695,2.847648859024048,1646260000,0.0,0.0,AAPL
2007-01-18 00:00:00-05:00,2.762175918659888,2.762475836030724,2.6707029224617687,2.671302556991577,2364605600,0.0,0.0,AAPL
2007-01-19 00:00:00-05:00,2.658106593772866,2.688697762877977,2.6428112094321587,2.654207468032837,1364473600,0.0,0.0,AAPL
2007-01-22 00:00:00-05:00,2.673400993636817,2.6740014287928613,2.568732872955569,2.6029224395751953,1454026000,0.0,0.0,AAPL
2007-01-23 00:00:00-05:00,2.5711325437485915,2.6245162254594123,2.5645347630771953,2.570232391357422,1207424400,0.0,0.0,AAPL
2007-01-24 00:00:00-05:00,2.5996247746584116,2.6137206944946074,2.5816305286361416,2.6002252101898193,927813600,0.0,0.0,AAPL
2007-01-25 00:00:00-05:00,2.612519226220973,2.654206724906754,2.5801291627300618,2.5867271423339844,905973600,0.0,0.0,AAPL
2007-01-26 00:00:00-05:00,2.6125196603719,2.6203175105408714,2.5489387914579695,2.560635566711426,986874000,0.0,0.0,AAPL
2007-01-29 00:00:00-05:00,2.5882273479388247,2.598724253678906,2.565134115268281,2.5774307250976562,901664400,0.0,0.0,AAPL
2007-01-30 00:00:00-05:00,2.5921261937053193,2.593925697527736,2.556736552499906,2.5657336711883545,577970400,0.0,0.0,AAPL
2007-01-31 00:00:00-05:00,2.54504005188735,2.5792304279855367,2.529744868384174,2.5711326599121094,856069200,0.0,0.0,AAPL
2007-02-01 00:00:00-05:00,2.5861276761870515,2.587326744687051,2.5414412021636963,2.5414412021636963,664342000,0.0,0.0,AAPL
2007-02-02 00:00:00-05:00,2.522846034239473,2.5567356768964062,2.510249712008226,2.5417404174804688,621530000,0.0,0.0,AAPL
2007-02-05 00:00:00-05:00,2.5282445699455245,2.556136876554915,2.5174479484558105,2.5174479484558105,578852400,0.0,0.0,AAPL
2007-02-06 00:00:00-05:00,2.5327431314881736,2.533343566674933,2.48505788634937,2.5237460136413574,864393600,0.0,0.0,AAPL
2007-02-07 00:00:00-05:00,2.5336433662538176,2.590626249006319,2.505751859554366,2.583728551864624,1066825200,0.0,0.0,AAPL
2007-02-08 00:00:00-05:00,2.562134743553623,2.594525615687916,2.561535309304227,2.5846283435821533,679030800,0.0,0.0,AAPL
2007-02-09 00:00:00-05:00,2.5756306750657947,2.585227427154517,2.4955547653919385,2.49735426902771,860540800,0.0,0.0,AAPL
2007-02-12 00:00:00-05:00,2.532143988361794,2.5546375881895886,2.5081514025002063,2.545640468597412,724071600,0.0,0.0,AAPL
2007-02-13 00:00:00-05:00,2.55403719630271,2.557935319639524,2.5282443132397936,2.540241003036499,580986000,0.0,0.0,AAPL
2007-02-14 00:00:00-05:00,2.538142337789828,2.5684329874835035,2.5363426335728687,2.558236598968506,507981600,0.0,0.0,AAPL
2007-02-15 00:00:00-05:00,2.5624352455608372,2.5678331565276173,2.542640703019253,2.5555367469787598,363661200,0.0,0.0,AAPL
2007-02-16 00:00:00-05:00,2.556737183595909,2.561535661428309,2.5390420583076727,2.5441410541534424,399868000,0.0,0.0,AAPL
2007-02-20 00:00:00-05:00,2.538742134485876,2.5840288539947998,2.5240463843834213,2.576231002807617,617702400,0.0,0.0,AAPL
2007-02-21 00:00:00-05:00,2.5786302273483,2.6838986191289744,2.578030592833464,2.675201416015625,1155313600,0.0,0.0,AAPL
2007-02-22 00:00:00-05:00,2.7231854705432887,2.723485187505192,2.6551062742455156,2.684497356414795,838224800,0.0,0.0,AAPL
2007-02-23 00:00:00-05:00,2.6740024139646876,2.7093918628758473,2.664704575045055,2.671302556991577,517893600,0.0,0.0,AAPL
2007-02-26 00:00:00-05:00,2.694394921069237,2.699194198439727,2.627515566404403,2.6545069217681885,615848800,0.0,0.0,AAPL
2007-02-27 00:00:00-05:00,2.5882279908919457,2.6116207462628496,2.5015540682595137,2.517148971557617,1145813200,0.0,0.0,AAPL
2007-02-28 00:00:00-05:00,2.489257562106061,2.567234077787,2.489257562106061,2.5375430583953857,919475200,0.0,0.0,AAPL
2007-03-01 00:00:00-05:00,2.520146563882071,2.6485089432051945,2.511749081181992,2.611020088195801,1415528800,0.0,0.0,AAPL
2007-03-02 00:00:00-05:00,2.6023230319148776,2.6254162625486512,2.5555365358626054,2.561534881591797,860000400,0.0,0.0,AAPL
2007-03-05 00:00:00-05:00,2.575931762072212,2.6587065643642704,2.5720326355456447,2.588827610015869,838899600,0.0,0.0,AAPL
2007-03-06 00:00:00-05:00,2.633213560262285,2.6485095435305928,2.6212176685162683,2.6449103355407715,723186800,0.0,0.0,AAPL
2007-03-07 00:00:00-05:00,2.6407115848714846,2.668303175855427,2.6227165467206937,2.63081431388855,626284400,0.0,0.0,AAPL
2007-03-08 00:00:00-05:00,2.65690701456645,2.6608051387920706,2.623016358163387,2.639211893081665,511011200,0.0,0.0,AAPL
