date,low,high,open,close,volume,symbol,granularity
2016-07-03 00:00:00,683.67,705.25,705.25,696.3,1761.57652871,BTC-USD,6h
2016-07-03 06:00:00,667.71,696.91,696.3,680.79,1137.94264007,BTC-USD,6h
2016-07-03 12:00:00,651.0,682.25,680.79,664.12,2245.23797735,BTC-USD,6h
2016-07-03 18:00:00,659.34,674.85,664.75,663.55,1350.95131646,BTC-USD,6h
2016-07-04 00:00:00,653.16,679.31,664.09,671.04,1419.66906717,BTC-USD,6h
2016-07-04 06:00:00,670.0,678.82,671.52,672.54,691.197844,BTC-USD,6h
2016-07-04 12:00:00,668.87,683.69,672.54,674.19,1139.1408464,BTC-USD,6h
2016-07-04 18:00:00,669.45,682.0,673.53,681.98,1077.40301133,BTC-USD,6h
2016-07-05 00:00:00,674.9,682.37,681.98,678.17,974.34412779,BTC-USD,6h
2016-07-05 06:00:00,669.69,678.02,677.95,674.31,1054.66579701,BTC-USD,6h
2016-07-05 12:00:00,662.51,675.88,674.32,671.36,1463.70928528,BTC-USD,6h
2016-07-05 18:00:00,667.4,672.0,671.06,669.87,1551.09261644,BTC-USD,6h
2016-07-06 00:00:00,665.0,680.79,669.75,675.54,1593.61893712,BTC-USD,6h
2016-07-06 06:00:00,665.69,677.69,675.44,672.71,634.93129198,BTC-USD,6h
2016-07-06 12:00:00,670.85,676.78,672.7,675.47,1629.43652712,BTC-USD,6h
2016-07-06 18:00:00,671.0,679.59,675.22,678.79,1810.25132206,BTC-USD,6h
2016-07-07 00:00:00,641.85,683.44,678.79,649.64,3415.12063548,BTC-USD,6h
2016-07-07 06:00:00,640.33,651.68,648.54,648.4,1505.44724204,BTC-USD,6h
2016-07-07 12:00:00,611.96,649.45,648.38,622.18,4139.26216319,BTC-USD,6h
2016-07-07 18:00:00,611.94,642.69,622.18,641.97,3221.65057272,BTC-USD,6h
2016-07-08 00:00:00,638.04,649.71,641.97,641.44,2909.96914984,BTC-USD,6h
2016-07-08 06:00:00,640.25,646.88,641.94,644.78,2140.04364116,BTC-USD,6h
2016-07-08 12:00:00,644.23,657.09,644.93,655.36,2976.27138571,BTC-USD,6h
2016-07-08 18:00:00,654.06,667.33,655.01,667.33,3029.08156504,BTC-USD,6h
2016-07-09 00:00:00,653.6,667.3,667.07,659.73,2531.3750728,BTC-USD,6h
2016-07-09 06:00:00,647.49,660.0,659.72,652.52,1252.48829665,BTC-USD,6h
2016-07-09 12:00:00,608.0,664.47,652.59,639.14,3324.68595849,BTC-USD,6h
2016-07-09 18:00:00,638.77,662.13,639.14,657.61,2499.14658696,BTC-USD,6h
2016-07-10 00:00:00,647.39,657.61,657.6,650.77,1371.87936376,BTC-USD,6h
2016-07-10 06:00:00,646.44,654.97,650.78,650.81,1049.59301816,BTC-USD,6h
